Class,Accuracy
advertisement,93.24055666003976
budget,88.8622754491018
email,97.21780604133545
filefolder,97.34863474475662
form,80.56664006384678
handwritten,94.62875197472354
invoice,85.74888978603148
letter,85.18668831168831
memo,83.86837881219904
